pcode,name,hierarchy,parent_pcode
PH175314001,Alcoba,ASM4,PH175314000
PH045646001,Aldavoc,ASM4,PH045646000
PH063044002,Aldeguer,ASM4,PH063044000
PH051734001,Aldezar,ASM4,PH051734000
PH042123001,Aldiano Olaes,ASM4,PH042123000
PH060615003,Alegre,ASM4,PH060615000
PH060617001,Alegre,ASM4,PH060617000
PH063034003,Alegre,ASM4,PH063034000
PH083718001,Alegre,ASM4,PH083718000
PH112401001,Alegre,ASM4,PH112401000
PH054116001,Alegria,ASM4,PH054116000
PH056202002,Alegria,ASM4,PH056202000
PH060405001,Alegria,ASM4,PH060405000
PH060605001,Alegria,ASM4,PH060605000
