"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..Region X (Northern Mindanao)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Computer programming activities",4.0,..,7.0,100.0,..,100.0,100.0,..,100.0,45.0,..,257.0,88.9,..,88.7,88.9,..,88.7,25.0,..,85.7,0.0,..,28.6,25.0,..,0.0,0.0,..,100.0,0.0,..,71.4,0.0,..,0.0,25.0,..,57.1,25.0,..,0.0,0.0,..,57.1,25.0,..,57.1,50.0,..,85.7,50.0,..,85.7,50.0,..,71.4,50.0,..,71.4,50.0,..,71.4,100.0,..,71.4,75.0,..,71.4,0.0,..,71.4,75.0,..,57.1,..,..,100.0,..,..,57.1
"..Region X (Northern Mindanao)","..Computer consultancy and computer facilities management activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Data processing",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region X (Northern Mindanao)","..Website hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Customer relationship management activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region X (Northern Mindanao)","..Sales and marketing (including telemarketing) activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Other call centers activities (voice), n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Payroll maintenance and other transaction processing activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region X (Northern Mindanao)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region X (Northern Mindanao)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","Business Process Management",16.0,..,33.0,100.0,..,100.0,100.0,..,100.0,3922.0,..,12616.0,93.7,..,99.5,87.4,..,99.3,31.3,..,48.5,50.0,..,57.6,18.8,..,30.3,50.0,..,93.9,75.0,..,81.8,31.3,..,42.4,12.5,..,15.2,6.3,..,0.0,6.3,..,48.5,50.0,..,60.6,75.0,..,66.7,43.8,..,66.7,68.8,..,72.7,56.3,..,60.6,62.5,..,66.7,93.8,..,72.7,87.5,..,78.8,50.0,..,75.8,56.3,..,66.7,..,..,81.8,..,..,45.5
"..Region XI (Davao Region)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Other publishing activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Computer programming activities",5.0,..,11.0,100.0,..,100.0,100.0,..,100.0,32.0,..,214.0,90.6,..,99.1,90.6,..,99.1,60.0,..,81.8,60.0,..,45.5,20.0,..,36.4,40.0,..,90.9,100.0,..,81.8,20.0,..,36.4,40.0,..,36.4,20.0,..,0.0,0.0,..,27.3,40.0,..,45.5,100.0,..,72.7,80.0,..,54.5,100.0,..,63.6,80.0,..,45.5,100.0,..,54.5,100.0,..,90.9,80.0,..,90.9,20.0,..,72.7,60.0,..,72.7,..,..,81.8,..,..,54.5
"..Region XI (Davao Region)","..Computer consultancy and computer facilities management activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region XI (Davao Region)","..Other information technology and computer service activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region XI (Davao Region)","..Data processing",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region XI (Davao Region)","..Website hosting services",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Customer relationship management activities",3.0,..,12.0,100.0,..,100.0,100.0,..,100.0,2854.0,..,10740.0,100.0,..,100.0,100.0,..,100.0,0.0,..,41.7,100.0,..,83.3,66.7,..,33.3,100.0,..,100.0,100.0,..,75.0,100.0,..,58.3,0.0,..,0.0,0.0,..,0.0,33.3,..,50.0,66.7,..,66.7,66.7,..,83.3,33.3,..,83.3,33.3,..,83.3,33.3,..,75.0,66.7,..,66.7,100.0,..,75.0,100.0,..,66.7,100.0,..,75.0,66.7,..,58.3,..,..,75.0,..,..,33.3
"..Region XI (Davao Region)","..Sales and marketing (including telemarketing) activities",s,..,4.0,s,..,100.0,s,..,100.0,s,..,1398.0,s,..,97.9,s,..,97.9,s,..,0.0,s,..,75.0,s,..,50.0,s,..,75.0,s,..,100.0,s,..,25.0,s,..,25.0,s,..,0.0,s,..,50.0,s,..,75.0,s,..,75.0,s,..,75.0,s,..,100.0,s,..,75.0,s,..,100.0,s,..,75.0,s,..,75.0,s,..,75.0,s,..,75.0,..,..,75.0,..,..,50.0
"..Region XI (Davao Region)","..Other call centers activities (voice), n.e.c.",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region XI (Davao Region)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Publishing outsourcing activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region XI (Davao Region)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XI (Davao Region)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","Business Process Management",3.0,..,2.0,100.0,..,100.0,100.0,..,100.0,89.0,..,285.0,93.3,..,99.3,89.9,..,99.3,0.0,..,50.0,33.3,..,50.0,33.3,..,50.0,66.7,..,100.0,0.0,..,100.0,33.3,..,50.0,33.3,..,50.0,0.0,..,0.0,0.0,..,0.0,33.3,..,50.0,33.3,..,100.0,66.7,..,100.0,66.7,..,100.0,100.0,..,50.0,66.7,..,50.0,33.3,..,100.0,66.7,..,100.0,0.0,..,100.0,0.0,..,50.0,..,..,100.0,..,..,100.0
"..Region XII (SOCCSKSARGEN)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region XII (SOCCSKSARGEN)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
